OBJECTID,Facility ID,Name,Address,City,County,State,Zip Code,Latitude,Longitude,Coordinate Source,Address Match Type,Open USTs,Closed USTs,Temporarily Out of Service USTs,Estimated Population within 1500ft,Estimated Private Domestic Wells within 1500ft,Within 100-year Floodplain,Land Use,Within Source Water Protection Area (SPA),SPA Public Water System and Facility ID,SPA Water Type,SPA Facility Type,SPA HUC12,Within Groundwater Wellhead Protection Area (WHPA),WHPA Public Water System and Facility ID,WHPA Water Type,WHPA Facility Type,WHPA HUC12,Facility Status,Date_of_Last_Inspection,EPA Region,Tribe,QA,x,y
15160,AK1602,"Alaska Oil Sales, Inc",43442 Kalifornsky Beach Rd,Soldotna,,Alaska,99669,60.491025,-151.159023,Geocode,PointAddress,2,1,0,31,11,,,No,,,,,Yes,AK2248878_35346,GW,WL,190203021806,Open UST(s),,10,,,-16826945.4692,8509880.044
15161,AK2706,Alaska Pacific University,4101 University Dr,Anchorage,,Alaska,99508,61.189407,-149.8057605,Geocode,PointAddress,0,1,0,96,0,,,No,,,,,Yes,AK2212623_34313,GW,WL,190204010503,Closed UST(s),,10,,,-16676300.9768,8669444.1431
15162,AK3477,Alaska Performance Machine,4142 Ingra St,Anchorage,,Alaska,99503,61.182864,-149.8671315,Geocode,PointAddress,0,1,0,449,1,,,No,,,,,Yes,AK2211164_34556,GW,WL,190204010508,Closed UST(s),,10,,,-16683132.7652,8667932.9082
15163,AK1396,Alaska Petroleum,1095 Dennis Rd,North Pole,,Alaska,99705,64.8174195,-147.5435371,Geocode,StreetAddress,0,2,0,196,66,,,No,,,,,Yes,AK2310926_48024,GW,WL,190405060907,Closed UST(s),,10,,,-16424471.4198,9560442.5116
15164,AK91,Alaska Propeller Specialists,5251 Lakeshore Dr,Anchorage,,Alaska,99502,61.18274247,-149.9635599,Geocode,StreetName,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16693867.1256,8667904.8414
15165,AK2843,Alaska Psychiatric Institute,2900 Providence Dr,Anchorage,,Alaska,99503,61.18786187,-149.8272383,Geocode,StreetAddress,0,3,0,296,1,,,No,,,,,Yes,AK2216449_34606,GW,WL,190204010504,Closed UST(s),,10,,,-16678691.8745,8669087.2366
15166,AK1718,Alaska Pulp Corporation,P.O. Box 1050,Sitka,,Alaska,99835,57.05362,-135.3363,Geocode,Postal,0,3,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-15065568.0018,7771086.0413
15167,AK442,"Alaska Qwik Lube, Inc.",4647 Old Seward Hwy,Anchorage,,Alaska,99503,61.177905,-149.867352,Geocode,PointAddress,0,3,0,979,0,,,No,,,,,Yes,AK2211164_34556,GW,WL,190204010508,Closed UST(s),,10,,,-16683157.3112,8666787.7382
15168,AK246,Alaska Rail Road Corporation (ARRC),Arr MP 355.7 Garner Section,Anchorage,,Alaska,99510,61.21412,-149.86794,Geocode,Postal,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16683222.767,8675154.9304
15169,AK1376,Alaska Railroad Corp ( Arrc)  Cantwell Section,Arr MP 319.5 Cantwell,Cantwell,,Alaska,99729,63.3924523,-148.898383,Geocode,Postal,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16575292.1755,9197134.5286
15170,AK1373,Alaska Railroad Corp (arrc) - Broad Pass,Arr MP 304 bRd Pass,Anchorage,,Alaska,99510,61.21412,-149.86794,Geocode,Postal,0,5,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16683222.767,8675154.9304
15171,AK3517,Fairbanks Police Department,911 Cushman St,Fairbanks,,Alaska,99701,64.839222,-147.7183905,Geocode,PointAddress,1,0,0,927,6,,,No,,,,,Yes,AK2310730_47106,GW,WL,190405060907,Open UST(s),,10,,,-16443936.0113,9566148.7444
15172,AK2485,Fairbanks Street Investors,4901 Fairbanks ST,Anchorage,,Alaska,99503,61.176123,-149.871582,Geocode,PointAddress,0,1,0,888,7,,,No,,,,,Yes,AK2211164_34556,GW,WL,190204010508,Closed UST(s),,10,,,-16683628.1926,8666376.2692
15176,AK2958,Fairbanks Terminal / Joyce Prope,Mile 354 Parks Hwy 2950 Parks HWY,Fairbanks,,Alaska,99701,64.855143,-147.926934,Geocode,DistanceMarker,0,2,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16467150.9675,9570318.5697
15178,AK2818,Fairbanks Toll Center,260 Gaffney RD,Fairbanks,,Alaska,99701,64.83604608,-147.7116062,Geocode,StreetAddress,0,1,0,660,2,,,No,,,,,Yes,AK2310918_48295,GW,WL,190405060907,Closed UST(s),,10,,,-16443180.7864,9565317.243
15180,AK895,"Fairbanks U-drive, Inc.",4.5 Mile Old Airport RD,Fairbanks,,Alaska,99701,64.82386436,-147.8567207,Geocode,StreetName,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16459334.8587,9562128.8038
15181,AK1371,Alaska Railroad Corp (arrc) - Hurricane Section .,Arr MP 281.4,Anchorage,,Alaska,99510,61.21412,-149.86794,Geocode,Postal,0,2,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16683222.767,8675154.9304
15183,AK2839,Fairview Marketplace - Wasilla Shell,5100 E Fireweed Rd,Wasilla,,Alaska,99654,61.568316,-149.319324,Geocode,PointAddress,1,2,0,139,37,,,No,,,,,Yes,AK2224117_48643,GW,WL,190204021302,Open UST(s),,10,,,-16622151.1133,8757500.8521
15184,AK1343,Alaska Railroad Corp (arrc) - Indian S,Arr MP 88.7,Indian,,Alaska,99540,60.991743,-149.5105884,Geocode,Postal,0,2,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16643442.5689,8623927.5168
15186,AK22,Falcon Properties,Gate 28 W Ramp Fairbanks Intl Airport,Fairbanks,,Alaska,99701,64.8372348,-147.7199405,Geocode,Postal,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16444108.5565,9565628.4554
15187,AK1184,Alaska Railroad Corp (arrc) - Moose Pass Section,Arr MP 29.3,Moose Pass,,Alaska,99631,60.4670057,-149.3690759,Geocode,Postal,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16627689.4694,8504453.6449
15189,AK2437,Family Fuel,170 State St,Skagway,,Alaska,99840,59.45423433,-135.3200224,Geocode,StreetAddress,2,2,0,227,5,,,No,,,,,Yes,AK2110601_50138,GW,WL,190103030205,Open UST(s),,10,,,-15063755.9877,8279218.8415
15190,AK2001,Alaska Railroad Corp (arrc) - Nome Section,Arr MP 456.2,Fairbanks,,Alaska,99701,64.84378757,-147.7166481,Geocode,StreetAddress,0,2,0,879,8,,,No,,,,,Yes,AK2310730_47106,GW,WL,190405060907,Closed UST(s),,10,,,-16443742.0482,9567344.2479
15191,AK860,Far North Sanitation Serv. Inc.,1/2 Mile Cushman Ext.,Fairbanks,,Alaska,99707,64.843848,-147.7214415,Geocode,StreetInt,0,2,0,956,6,,,No,,,,,Yes,AK2310730_47106,GW,WL,190405060907,Closed UST(s),,10,,,-16444275.647,9567360.073
15194,AK2653,Farwest Fisheries Lease Lot,Lease Lot Lot 1 Block 100 King Salmon Airport,King Salmon,,Alaska,99613,58.75508,-156.5289154,Geocode,Postal,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-17424719.1568,8127637.5294
15196,AK2322,"FAVCO, Inc.",1205 W 29th AVE,Anchorage,,Alaska,99503,61.194195,-149.906682,Geocode,PointAddress,0,1,0,2037,18,,,No,,,,,Yes,AK2210566_33444,GW,WL,190204010508,Closed UST(s),,10,,,-16687535.5067,8670550.2251
15198,AK2851,Alaska Railroad Corp (arrc) - Seward Dock,AK RailRd - Mile 0,Seward,,Alaska,99664,60.1871848,-149.3808101,Geocode,Postal,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16628995.7146,8441530.9543
15201,AK2580,Alaska Railroad Corp (arrc) - Seward Yard,Alaska RailRd MP 1.0,Seward,,Alaska,99664,60.1871848,-149.3808101,Geocode,Postal,0,2,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16628995.7146,8441530.9543
15204,AK1208,Alaska Railroad Corp (arrc) - Sunshine Section,Arr MP 215,Houston,,Alaska,99694,61.62909,-149.81063,Geocode,Postal,0,2,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16676843.047,8771724.3711
15207,AK1190,Alaska Railroad Corp (arrc) - Whittier,Marine Fuel Float whittier,Whittier,,Alaska,99693,60.77251,-148.6855,Geocode,Postal,0,2,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16551594.1483,8573774.169
15210,AK1356,Alaska Railroad Corp (ARRC) - Willow Section,ARR Mile 185.7,Willow,,Alaska,99688,61.73824,-150.04442,Geocode,Postal,0,2,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16702868.4308,8797340.0836
15217,AK1474,Alaska Railroad Corp (arrc)- Anchorage Yard,Arr MP 114.3 boiler Plant,Anchorage,,Alaska,99510,61.21412,-149.86794,Geocode,Postal,0,4,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16683222.767,8675154.9304
15220,AK2812,Alaska Railroad Corporation,445 Warehouse AVE,Anchorage,,Alaska,99501,61.2088249,-149.8625991,Geocode,Postal,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16682628.2208,8673930.9385
15223,AK2821,Alaska Railroad Corporation,1628 Post RD,Anchorage,,Alaska,99501,61.22559409,-149.8520484,Geocode,StreetAddress,0,1,0,188,0,,,No,,,,,No,,,,,Closed UST(s),,10,,,-16681453.7222,8677807.937
15226,AK1189,Alaska Railroad Corporation (arrc),Arr MP 63 portage Section,Anchorage,,Alaska,99510,61.21412,-149.86794,Geocode,Postal,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16683222.767,8675154.9304
15229,AK1353,Alaska Railroad Corporation (arrc),Arr Tool House wasilla,Wasilla,,Alaska,99652,61.52643972,-150.0826505,Geocode,Postal,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16707124.2306,8747716.3541
15232,AK1366,Alaska Railroad Corporation (arrc),Arr MP 263.2 gold Creek Section,Anchorage,,Alaska,99510,61.21412,-149.86794,Geocode,Postal,0,2,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16683222.767,8675154.9304
15234,AK2002,Alaska Railroad Corporation (arrc),1825 Ship AVE,Anchorage,,Alaska,99510,61.223553,-149.8470705,Geocode,PointAddress,0,2,0,2,0,,,No,,,,,No,,,,,Closed UST(s),,10,,,-16680899.5849,8677335.9313
15236,AK248,Alaska Railroad Corporation (arrc),Arr MP 371.1 ferry Section,Nenana,,Alaska,99760,64.5635922,-149.0942705,Geocode,Postal,0,2,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16597098.2723,9494347.4268
15239,AK255,Alaska Railroad Corporation (arrc),Arr MP 431 dunbar,Anchorage,,Alaska,99510,61.21412,-149.86794,Geocode,Postal,0,2,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16683222.767,8675154.9304
15242,AK260,Alaska Railroad Corporation (arrc),Arr MP G16 N Pole Section,North Pole,,Alaska,99705,64.7507547,-147.3562737,Geocode,Postal,0,3,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16403625.3535,9543023.3492
15245,AK614,Alaska Railroad Corporation (arrc),Arr MP 141 eklutna,Anchorage,,Alaska,99510,61.21412,-149.86794,Geocode,Postal,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16683222.767,8675154.9304
15247,AK1186,Alaska Railroad Corporation (arrc) - Tunnel.,Arr MP 51,Anchorage,,Alaska,99510,61.21412,-149.86794,Geocode,Postal,0,2,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16683222.767,8675154.9304
15250,AK252,Alaska Railroad Corporation ARRC,Nenana Yard,Nenana,,Alaska,99760,64.5635922,-149.0942705,Geocode,Postal,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16597098.2723,9494347.4268
15253,AK263,Alaska Railroad Corporation Arrc,"Arr Yard, Car Shop",Fairbanks,,Alaska,99701,64.8372348,-147.7199405,Geocode,Postal,0,2,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16444108.5565,9565628.4554
15255,AK1361,Alaska Railroad Corporation Arrc Talkeetna,Arr MP 226.7 Talkeetna Section,Talkeetna,,Alaska,99676,62.13711,-150.03571,Geocode,Postal,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16701898.838,8891727.2661
15257,AK826,Alaska Refrigeration,3901 Taft Dr,Anchorage,,Alaska,99517,61.184493,-149.922432,Geocode,PointAddress,0,1,0,1470,14,,,No,,,,,Yes,AK2210566_33444,GW,WL,190204010508,Closed UST(s),,10,,,-16689288.7887,8668309.1285
15260,AK1585,Alaska Regional Hospital,2801 DeBarr Rd,Anchorage,,Alaska,99508,61.2099033,-149.8291421,Geocode,StreetAddress,0,2,0,692,3,,,No,,,,,Yes,AK2210574_47261,GW,WL,190204010503,Closed UST(s),,10,,,-16678903.8046,8674180.2
15263,AK1229,Alaska Roadbuilders,44990 Ridgeway RD,Soldotna,,Alaska,99669,60.15482,-150.4490022,Geocode,Postal,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16747906.3153,8434287.8126
15266,AK1952,Alaska Sales & Service Inc,1300 E 5th AVE,Anchorage,,Alaska,99501,61.217019,-149.856723,Geocode,PointAddress,0,8,0,1201,0,,,No,,,,,No,,,,,Closed UST(s),,10,,,-16681974.0963,8675825.1377
15269,AK1657,"Alaska Sightseeing Tours, Inc",349 Wrangell ST,Anchorage,,Alaska,99501,61.21884782,-149.8382789,Geocode,StreetAddress,0,4,0,184,0,,,No,,,,,Yes,AK2210419_33932,GW,WL,190204010503,Closed UST(s),,10,,,-16679920.9085,8676247.9664
15272,AK2284,Alaska Sportsmans Lodge,Mile 55 Sterling HWY,Cooper Landing,,Alaska,99572,60.48502498,-150.1122479,Geocode,StreetName,0,2,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16710418.9981,8508524.1533
15274,AK905,Alaska State,Lk.Hood Aircraft Pkg.Lot 409-410,Anchorage,,Alaska,99504,61.2132482,-149.7710649,Geocode,Postal,0,2,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16672438.6802,8674953.3949
15294,AK476,Alaska State  Troopers Building,211 Bartel,Kodiak,,Alaska,99615,57.800412,-152.379873,Geocode,PointAddress,0,1,0,769,7,,,Yes,AK2250493_50092,SW,IN,190207011506,No,,,,,Closed UST(s),,10,,,-16962849.8695,7925506.6777
15295,AK2416,Alaska State Troopers K Beach,45245 K Beach Rd,Soldotna,,Alaska,99669,60.15482,-150.4490022,Geocode,Postal,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16747906.3153,8434287.8126
15297,AK2014,Alaska Steel,1200 W Dowling,Anchorage,,Alaska,99518,61.166259,-149.9021505,Geocode,PointAddress,0,1,0,250,8,,,No,,,,,No,,,,,Closed UST(s),,10,,,-16687031.0625,8664099.0635
15298,AK2956,Alaska Surgery Center,4001 Laurel St,Anchorage,,Alaska,99508,61.183998,-149.83353,Geocode,PointAddress,0,2,0,1323,10,,,No,,,,,Yes,AK2216449_34606,GW,WL,190204010504,Closed UST(s),,10,,,-16679392.2634,8668194.8054
15300,AK690,Alaska Teamster Training Trust,3002 Commercial Dr,Anchorage,,Alaska,99501,61.223985,-149.824593,Geocode,PointAddress,0,2,0,935,0,,,No,,,,,Yes,AK2210574_47261,GW,WL,190204010503,Closed UST(s),,10,,,-16678397.4011,8677435.8295
15303,AK940,Alaska Terminals Maintainence Shop,619 W 72ND,Anchorage,,Alaska,99518,61.155315,-149.890392,Geocode,PointAddress,0,3,0,1442,36,,,No,,,,,Yes,AK2218753_47571,GW,WL,190204010504,Closed UST(s),,10,,,-16685722.1122,8661573.3619
15306,AK747,Alaska Testlab,4040 B ST,Anchorage,,Alaska,99503,61.183962,-149.884641,Geocode,PointAddress,0,4,0,37,0,,,No,,,,,Yes,AK2211164_34556,GW,WL,190204010508,Closed UST(s),,10,,,-16685081.9139,8668186.491
15309,AK2465,Alaska Transfer & Stg.,111 Bartel AVE,Kodiak,,Alaska,99615,57.800556,-152.3807505,Geocode,PointAddress,0,3,0,790,8,,,Yes,AK2250493_50092,SW,IN,190207011506,No,,,,,Closed UST(s),,10,,,-16962947.5524,7925536.7601
15312,AK1969,Alaska USA Federal Credit Union,4000 Credit Union Dr,Anchorage,,Alaska,99503,61.183476,-149.889501,Geocode,PointAddress,0,1,0,137,0,,,No,,,,,Yes,AK2211164_34556,GW,WL,190204010508,Closed UST(s),,10,,,-16685622.9266,8668074.2484
15315,AK1970,Alaska USA Federal Credit Union,777 Juneau ST,Anchorage,,Alaska,99501,61.214877,-149.864292,Geocode,PointAddress,0,1,0,1404,0,,,No,,,,,Yes,AK2213140_35371,GW,WL,190204010503,Closed UST(s),,10,,,-16682816.6735,8675329.932
15317,AK3240,Alaska Veterans and Pioneers Home,250 E Fireweed St,Palmer,,Alaska,99645,61.596342,-149.1133815,Geocode,PointAddress,1,1,0,269,74,,,No,,,,,Yes,AK2226020_46998,GW,WL,190204020709,Open UST(s),,10,,,-16599225.699,8764056.5778
15319,AK1456,Alaska Village Electric Plant Site,Address Unknown,Old Harbor,,Alaska,99643,57.2014355,-153.3077718,Geocode,Postal,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-17066143.0914,7801402.2757
15321,AK2847,Alaska Vocational Technical Center,1916 Leirer RD,Seward,,Alaska,99664,60.127488,-149.4323235,Geocode,PointAddress,0,4,0,72,3,,,No,,,,,Yes,AK2240757_50006,GW,WL,190202020508,Closed UST(s),,10,,,-16634730.1601,8428176.5478
15323,AK1524,Alaska West Express,1095 Sanduri,Fairbanks,,Alaska,99701,64.804032,-147.7297935,Geocode,PointAddress,0,3,0,1,0,,,No,,,,,No,,,,,Closed UST(s),,10,,,-16445205.3874,9556940.9725
15325,AK1584,Alaskan Backhoe,678 Brewster ST,Fairbanks,,Alaska,99712,64.889424,-147.6373815,Geocode,PointAddress,0,2,0,77,36,,,No,,,,,Yes,AK2310837_43219,GW,WL,190405060907,Closed UST(s),,10,,,-16434918.1306,9579305.3987
15327,AK1130,"Alaskan Paint Mfg., Co. Inc.",2040 Spar AVE,Anchorage,,Alaska,99501,61.221915,-149.8422105,Geocode,PointAddress,0,1,0,187,0,,,No,,,,,Yes,AK2210419_33932,GW,WL,190204010503,Closed UST(s),,10,,,-16680358.5722,8676957.1629
15329,AK1499,Alaskan Plumbing & Heating Wholesale,2132 Post Rd,Anchorage,,Alaska,99502,61.227999,-149.840262,Geocode,PointAddress,0,1,0,39,0,,,No,,,,,Yes,AK2218477_34253,GW,WL,190204010404,Closed UST(s),,10,,,-16680141.6662,8678364.1162
15331,AK416,Albert J.Crook & Gerald Paterson,"Tiedown #66, Lake Hood",Anchorage,,Alaska,99502,61.14232,-149.94975,Geocode,Postal,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16692329.8146,8658575.4593
15333,AK2838,Alcan Electrical & Engineering,6670 Arctic Spur RD,Anchorage,,Alaska,99518,61.160373,-149.896503,Geocode,PointAddress,0,2,0,455,3,,,No,,,,,No,,,,,Closed UST(s),,10,,,-16686402.3857,8662740.5592
15342,AK1271,Aleutian Automotive,"Building 484, Standard Oil Hill",Unalaska,,Alaska,99685,53.8721023,-166.5381019,Geocode,Postal,0,3,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-18538936.7012,7145971.1149
15345,AK1606,Alfred T. Gallant,"Tie Down #69, Spenard Lake",Anchorage,,Alaska,99501,61.2088249,-149.8625991,Geocode,Postal,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16682628.2208,8673930.9385
15348,AK589,Allen S. Barnett,Tiedown #77 Lake Hood,Anchorage,,Alaska,99510,61.21412,-149.86794,Geocode,Postal,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16683222.767,8675154.9304
15351,AK2618,Alpac Corporation Facility,Mile 38 Parks HWY,Wasilla,,Alaska,99652,61.568937,-149.319693,Geocode,DistanceMarker,0,1,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16622192.1902,8757646.0496
15354,AK3232,Alpenglow Elementary School,19201 Driftwood Bay Dr,Eagle River,,Alaska,99577,61.301727,-149.523471,Geocode,PointAddress,0,1,0,1399,78,,,No,,,,,Yes,AK2218544_35100,GW,WL,190204010306,Closed UST(s),,10,,,-16644876.6534,8695435.7219
15360,AK2288,Alpina Gas Service (formerly Ols,3607 Spenard RD,Anchorage,,Alaska,99503,61.187598,-149.908752,Geocode,PointAddress,0,9,0,1821,90,,,No,,,,,Yes,AK2210906_34755,GW,WL,190204010508,Closed UST(s),,10,,,-16687765.9381,8669026.2875
15363,AK3262,Alpine Mini-Mart,930 Zimovia Hwy PO Box 171,Wrangell,,Alaska,99929,56.463084,-132.374763,Geocode,PointAddress,1,0,0,260,0,,,Yes,AK2120143_30325,SW,IN,190102021705,No,,,,,Open UST(s),,10,,,-14735891.211,7651160.3714
15366,AK879,"ALTEX Distributing, Inc.",Mile 17.5 Spur HWY,Kenai,,Alaska,99611,60.5570715,-151.2512351,Geocode,Postal,0,2,0,,,,,,,,,,,,,,,Closed UST(s),,10,,,-16837210.4732,8524821.9057
